"序號","公司代號","公司名稱","董事會決議日期","買回目的","買回股份總金額上限(依最新財報計算之法定上限)","預定買回股數","買回價格區間-最低","買回價格區間-最高","預定買回期間-起","預定買回期間-迄","是否執行完畢","買回達一定標準資料","本次已買回股數(空白為尚在執行中)","本次執行完畢已註銷或轉讓股數","本次已買回股數佔預定買回股數比例(%)(空白為尚<br>在執行中)","本次已買回總金額(空白為尚在執行中)","本次平均每股買回價格(空白為尚在執行中)","本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中)","本次未執行完畢之原因"
"241","2107","厚生","2018/11/09","3",6621793631,10000000,14.00,18.00,"2018/11/12","2019/01/11","Y","查詢",10000000,10000000,100.00,153287901,15.33,2.70,""
"242","2358","廷鑫","2018/11/09","1",288710000,3000000,12.00,26.00,"2018/11/09","2019/01/08","Y","查詢",1892000,"",63.07,33338320,17.62,2.00,"本公司基於維護股東權益與兼顧市場機制，並考量後續資金運用，故未予以執行完畢"
"243","2461","光群雷","2018/11/09","1",1138620164,6000000,8.65,18.78,"2018/11/12","2019/01/11","Y","查詢",6000000,2905000,100.00,79418677,13.24,3.77,""
"244","2929","淘帝-KY","2018/11/09","1",3739104000,1100000,64.50,143.00,"2018/11/12","2019/01/11","Y","查詢",577000,577000,52.45,48058832,83.29,0.70,"為兼顧市場機制，依股價及成交量狀況分批買回，故未執行完畢。"
"245","3058","立德","2018/11/09","3",739173956,3000000,4.91,10.97,"2018/11/12","2019/01/11","Y","查詢",2151000,2151000,71.70,16426414,7.64,1.27,"為兼顧協調市場機制，同時維護股東權益，故本次買回本公司股票未執行完畢。"
"246","4566","時碩工業","2018/11/09","1",1343322105,2000000,32.00,50.00,"2018/11/12","2019/01/11","Y","查詢",247000,"",12.35,10551056,42.72,0.37,"基於維護股東權益並兼顧市場機制，公司視股價變化、成交量狀況及考量資金的有效運用分批買回，故未全數執行完畢。"
"247","6226","光鼎","2018/11/09","1",101831519,5000000,8.50,12.00,"2018/11/09","2019/01/08","Y","查詢",2800000,"",56.00,25556268,9.13,2.44,"基於維護股東權益並兼顧市場機制，公司視股價變化及成交量狀況採取分批買回策略，故未全數執行完畢。"
"248","1587","吉茂","2018/11/10","3",527972063,500000,13.23,29.05,"2018/11/12","2019/01/11","Y","查詢",500000,500000,100.00,9746950,19.49,0.75,""
"249","1721","三晃","2018/11/12","3",90750310,6000000,6.50,14.00,"2018/11/13","2019/01/12","Y","查詢",5319000,"",88.65,52768285,9.92,2.39,"為兼顧市場機制避免影響股價，本公司視股價變化及成交量狀況分批買回，故未能執行完畢。"
"250","2408","南亞科","2018/11/12","1",127955391662,20000000,38.00,79.00,"2018/11/13","2018/11/28","Y","查詢",20000000,"",100.00,1146932497,57.35,0.64,""
"251","2408","南亞科","2018/11/12","3",127955391662,100000000,38.00,79.00,"2018/11/29","2019/01/11","Y","查詢",50136000,50136000,50.14,2665620924,53.17,1.62,"本公司基於維護股東權益與兼顧市場機制，故未予以執行完畢。"
"252","2448","晶電","2018/11/12","1",39339869240,15000000,25.00,40.00,"2018/11/13","2019/01/12","Y","查詢",7800000,"",52.00,190327325,24.40,0.72,"為維護整體股東權益，考量公司資金有效運用及未來員工認股意願，故本次未能執行完畢。"
"253","4943","康控-KY","2018/11/12","1",2212181888,1200000,89.00,234.00,"2018/11/13","2018/12/17","Y","查詢",629000,"",52.42,74143679,117.88,0.53,"因兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故未予以執行完畢。"
"254","6625","必應","2018/11/12","1",239703539,800000,45.00,75.00,"2018/11/13","2019/01/12","Y","查詢",633000,"",79.13,34963858,55.24,1.78,"為兼顧市場機制，本公司視股價及市場狀況採分批買回策略，故本次庫藏股未能執行完畢。"
"255","1103","嘉泥","2018/11/13","1",7964118000,3000000,9.00,18.00,"2018/11/14","2019/01/11","Y","查詢",3000000,"",100.00,41072581,13.69,0.39,""
"256","2239","英利-KY","2018/11/13","3",10214390075,2000000,98.00,158.00,"2018/11/14","2019/01/13","Y","查詢",993000,993000,49.65,117401432,118.23,0.83,"為顧及本公司長期資金之規劃及有效運用，故未予以全部執行完畢。"
"257","2323","中環","2018/11/13","3",719102000,50000000,4.50,8.00,"2018/11/15","2019/01/11","Y","查詢",48110000,48110000,96.22,324007428,6.73,2.71,"為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢"
"258","8497","格威傳媒","2018/11/13","1",645456638,1500000,30.00,64.00,"2018/11/15","2019/01/13","Y","查詢",1465000,"",97.67,69691357,47.57,4.01,"本公司依股價及成交量狀況分批買回，故少量未執行完畢"
"259","2362","藍天","2018/11/14","1",4082295932,10000000,20.00,38.00,"2018/11/15","2019/01/14","Y","查詢",7500000,"",75.00,225566268,30.08,1.10,"因兼顧市場機制，本公司視股價變化及成交量狀況採分批買回，故未能執行完畢。"
"260","8478","東哥遊艇","2018/11/16","3",1547727284,3000000,24.00,51.00,"2018/11/19","2019/01/15","Y","查詢",2107000,2107000,70.23,88089039,41.81,2.26,"為維護股東權益與兼顧市場機制，故本次買回未予執行完畢。"
"261","2397","友通","2018/11/19","1",1921499000,1500000,60.00,75.00,"2018/11/20","2019/01/19","Y","查詢",200000,"",13.33,12906928,64.53,0.17,"考量員工未來認股意願及兼顧股東權益,故本次庫藏股未能執行完畢"
"262","8110","華東","2018/12/07","3",3594554000,20000000,10.00,11.50,"2018/12/10","2019/02/09","Y","查詢",20000000,20000000,100.00,218626856,10.93,3.80,""
"263","3094","聯傑","2018/12/11","1",322327772,3000000,14.50,24.00,"2018/12/12","2019/02/11","Y","查詢",1515000,"",50.50,28127052,18.57,1.79,"本公司視股價變化採取分批買回策略，為兼顧市場機制及維護全體股東權益 ，因而未全數買回原訂數量。"
"264","2841","台開","2018/12/19","1",1145211892,6000000,8.00,10.00,"2018/12/20","2019/02/18","Y","查詢",6000000,6000000,100.00,49156602,8.19,0.79,""
"265","1589","永冠-KY","2018/12/20","3",7363303037,6000000,35.00,76.59,"2018/12/21","2019/02/20","Y","查詢",6000000,6000000,100.00,344840849,57.47,5.38,""
"266","2483","百容","2018/12/20","1",1182201384,2000000,14.00,26.00,"2018/12/21","2019/02/20","Y","查詢",1019000,1019000,50.95,19197486,18.84,0.92,"考量買回期間股價維持並顧及本公司股東權益，故未執行完畢。"
"267","1504","東元","2018/12/22","3",28636888376,35000000,12.15,26.70,"2018/12/24","2019/02/22","Y","查詢",35000000,35000000,100.00,675839547,19.31,1.75,""
"268","2419","仲琦","2018/12/26","1",935528378,10000000,13.13,29.36,"2018/12/27","2019/02/26","Y","查詢",7669000,"",76.69,160670084,20.95,3.42,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"269","3013","晟銘電","2018/12/26","3",658745722,3500000,11.00,22.00,"2018/12/27","2019/02/25","Y","查詢",3500000,3500000,100.00,52512440,15.00,2.06,""
"270","2855","統一證","2018/12/28","3",11128755928,30000000,8.05,18.36,"2019/01/02","2019/02/27","Y","查詢",18038000,18038000,60.13,231821838,12.85,1.30,"因執行買回股份期間，股價已漸趨穩定，基於資金有效運用及股東權益維護之考量，故未全數執行完畢。"
"271","3038","全台","2019/01/08","1",262282565,5000000,7.00,11.00,"2019/01/08","2019/03/07","Y","查詢",5000000,"",100.00,50738984,10.15,2.87,""
"272","6451","訊芯-KY","2019/01/08","1",4172096975,2858000,62.00,118.00,"2019/01/09","2019/03/08","Y","查詢",2858000,"",100.00,243432003,85.18,2.71,""
"273","8374","羅昇","2019/01/21","1",641761841,2000000,15.00,28.00,"2019/01/21","2019/03/20","Y","查詢",0,"",0.00,0,0.00,0.00,"因本公司股價自董事會決議買回日起走升，並考量員工未來認股意願及資金運用效益，故未執行完畢。"
"274","3055","蔚華科","2019/01/23","3",2053824000,2300000,20.00,36.00,"2019/01/24","2019/03/22","Y","查詢",1066000,1066000,46.35,28377917,26.62,1.03,"視資本市場整體行情及環境，並兼顧市場交易機制及維護整體股東權益，故未能執行完畢。"
"275","2020","美亞","2019/01/24","3",891636841,2000000,9.98,21.29,"2019/01/25","2019/03/24","Y","查詢",2000000,2000000,100.00,29739344,14.87,0.89,""
"276","2841","台開","2019/01/24","1",1145211892,6000000,8.00,10.00,"2019/01/25","2019/03/24","Y","查詢",6000000,6000000,100.00,50470845,8.41,0.79,""
"277","2904","匯僑","2019/01/24","1",250875228,250000,16.00,29.00,"2019/01/25","2019/03/22","Y","查詢",250000,250000,100.00,5216249,20.86,0.36,""
"278","8213","志超","2019/03/21","2",8273033922,2304000,22.60,48.50,"2019/03/22","2019/05/20","Y","查詢",2304000,2304000,100.00,87766430,38.09,0.85,""
"279","2611","志信","2019/03/26","3",682095839,2000000,4.82,9.33,"2019/03/26","2019/05/25","Y","查詢",2000000,2000000,100.00,15127101,7.56,1.12,""
"280","2841","台開","2019/03/26","1",1145211892,8000000,8.00,10.00,"2019/03/27","2019/05/26","Y","查詢",6012000,6012000,75.15,51596625,8.58,0.79,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採行分批買回策略，故未執行完畢。"
"281","3058","立德","2019/03/28","3",703525577,3000000,5.72,12.20,"2019/03/29","2019/05/28","Y","查詢",2630000,2630000,87.67,21679418,8.24,1.57,"為兼顧協調市場機制，同時維護股東權益，故本次買回本公司股票未執&#64008;完畢。"
"282","2303","聯電","2019/04/24","3",93261525446,200000000,8.40,18.10,"2019/04/25","2019/06/24","Y","查詢",200000000,200000000,100.00,2641387106,13.21,1.65,""
"283","2908","特力","2019/04/24","1",1586324000,20000000,20.00,28.00,"2019/04/29","2019/06/24","Y","查詢",9271000,"",46.36,205255772,22.14,1.82,"為兼顧市場機制及維護股東權益，本公司視股價變化及成交量採分批買回，故本次庫藏股未能執行完畢"
"284","9912","偉聯","2019/05/08","1",74369607,1500000,6.26,13.63,"2019/05/09","2019/07/08","Y","查詢",1500000,"",100.00,13633854,9.09,2.76,""
"285","1101","台泥","2019/05/10","1",78440337000,10000000,29.75,63.62,"2019/05/13","2019/07/12","Y","查詢",8000000,"",80.00,348959120,43.62,0.15,"原預定買回期間本公司股價與大盤相較無超跌情形，為維護股東權益及考量員工認股意願，故未執行完畢。"
"286","6531","愛普","2019/05/14","3",1383999071,1500000,29.00,50.00,"2019/05/15","2019/07/14","Y","查詢",1500000,1500000,100.00,55374954,36.92,1.99,""
"287","8473","山林水","2019/05/21","3",4262098796,3000000,45.00,65.00,"2019/05/22","2019/06/21","Y","查詢",3000000,3000000,100.00,159108236,53.04,2.18,""
"288","2841","台開","2019/05/29","1",1194365134,6000000,9.00,11.00,"2019/05/30","2019/07/29","Y","查詢",3148000,3148000,52.47,29978504,9.52,0.41,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。"
"289","6464","台數科","2019/06/11","3",4422113762,150000,110.00,130.00,"2019/06/12","2019/07/12","Y","查詢",150000,150000,100.00,16243258,108.29,0.12,""
"290","2362","藍天","2019/06/18","1",2561980460,10000000,27.00,42.00,"2019/06/19","2019/08/18","Y","查詢",10000000,"",100.00,320067979,32.01,1.49,""
"291","1528","恩德","2019/06/25","1",530409264,5000000,7.00,12.00,"2019/06/26","2019/08/25","Y","查詢",5000000,"",100.00,47543967,9.51,2.51,""
"292","8482","商億-KY","2019/06/26","1",1841116734,3000000,110.00,170.00,"2019/06/27","2019/08/26","Y","查詢",3000000,"",100.00,423236000,141.08,2.70,""
"293","3481","群創","2019/07/15","1",154687383000,80000000,5.08,11.00,"2019/07/16","2019/09/14","Y","查詢",80000000,"",100.00,618580223,7.73,0.80,""
"294","1736","喬山","2019/07/25","1",5301186000,600000,70.00,100.00,"2019/07/26","2019/09/25","Y","查詢",600000,"",100.00,47859684,79.77,0.20,""
"295","2841","台開","2019/07/30","1",792829604,6000000,9.00,11.00,"2019/07/31","2019/09/30","Y","查詢",4182000,4182000,69.70,36447694,8.72,0.55,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。"
"296","2908","特力","2019/08/02","1",1838571000,10000000,20.00,28.00,"2019/08/05","2019/10/04","Y","查詢",5035000,"",50.35,107999819,21.45,0.99,"為兼顧市場機制及維護股東權益，本公司視股價變化及成交量採分批買回，故本次庫藏股未能執行完畢"
"297","2436","偉詮電","2019/08/06","1",1040234937,3000000,21.00,35.00,"2019/08/07","2019/10/06","Y","查詢",3000000,108000,100.00,81102995,27.03,1.69,""
"298","9912","偉聯","2019/08/07","1",57773332,1500000,5.85,13.39,"2019/08/08","2019/10/07","Y","查詢",1260000,"",84.00,11196842,8.89,2.32,"為兼顧市場機制及維護股東權益，本公司視股價變化及成交量採分批買回，故本次庫藏股未能執行完畢。"
"299","3031","佰鴻","2019/08/09","1",615510604,10000000,10.50,17.50,"2019/08/12","2019/10/11","Y","查詢",10000000,"",100.00,149507225,14.95,5.36,""
"300","2809","京城銀","2019/08/12","3",22704312527,10000000,30.00,35.00,"2019/08/13","2019/10/09","Y","查詢",10000000,10000000,100.00,311658338,31.17,0.88,""
"301","3530","晶相光","2019/08/12","1",1267068453,1000000,53.00,115.00,"2019/08/13","2019/10/12","Y","查詢",1000000,"",100.00,96995435,97.00,1.28,""
"302","3481","群創","2019/08/20","3",148144304000,300000000,4.93,10.47,"2019/08/21","2019/10/20","Y","查詢",241000000,241000000,80.33,1682555476,6.98,2.42,"為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢"
"303","2495","普安","2019/09/02","3",1411582140,3000000,10.00,16.00,"2019/09/03","2019/11/01","Y","查詢",106000,106000,3.53,1543681,14.56,0.04,"本公司基於維護股東權益與兼顧市場機制，並考量後續資金運用，故未予以執行完畢。"
"304","2911","麗嬰房","2019/09/03","3",868646654,5000000,5.00,10.00,"2019/09/03","2019/11/01","Y","查詢",3053000,"",61.06,21889569,7.17,1.56,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"305","2409","友達","2019/09/09","1",85930170340,125000000,5.71,11.84,"2019/09/10","2019/11/09","Y","查詢",125000000,"",100.00,1013422848,8.11,1.30,""
"306","2425","承啟","2019/10/14","1",620600502,5000000,20.00,40.00,"2019/10/15","2019/12/13","Y","查詢",5000000,"",100.00,151745862,30.35,4.93,""
"307","2841","台開","2019/10/30","1",846523222,5000000,8.00,10.00,"2019/10/31","2019/12/30","Y","查詢",2516000,2516000,50.32,22517056,8.95,0.33,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。"
"308","4967","十銓","2019/11/01","1",407373818,2000000,17.40,32.00,"2019/11/02","2019/12/02","Y","查詢",2000000,"",100.00,50478223,25.24,2.93,""
"309","4976","佳凌","2019/11/05","1",549323000,3000000,21.00,44.00,"2019/11/06","2020/01/05","Y","查詢",1517000,"",50.57,42504434,28.02,1.29,"為維護股東權益並兼顧市場機制，視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"310","3013","晟銘電","2019/11/06","3",671750523,3500000,11.00,20.00,"2019/11/07","2020/01/03","Y","查詢",3500000,3500000,100.00,49810302,14.23,2.15,""
"311","2451","創見","2019/11/07","3",14813171788,3000000,49.00,97.00,"2019/11/08","2020/01/07","Y","查詢",1700000,1700000,56.67,130621100,76.84,0.39,"為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回政策，故未執行完畢"
"312","2911","麗嬰房","2019/11/07","3",868646654,5000000,6.00,10.00,"2019/11/07","2020/01/06","Y","查詢",4330000,"",86.60,32088044,7.41,2.21,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"313","1587","吉茂","2019/11/11","3",541608368,500000,11.62,25.86,"2019/11/12","2020/01/11","Y","查詢",500000,500000,100.00,7927050,15.85,0.74,""
"314","2809","京城銀","2019/11/11","1",23733089689,3000000,30.00,35.00,"2019/11/12","2020/01/10","Y","查詢",3000000,"",100.00,98421625,32.81,0.27,""
"315","6005","群益證","2019/11/11","3",9861897342,150000000,8.50,12.00,"2019/11/12","2020/01/11","Y","查詢",150000000,150000000,100.00,1604386481,10.70,6.46,""
"316","8110","華東","2019/11/21","1",3488579000,10000000,9.00,12.00,"2019/11/22","2020/01/21","Y","查詢",10000000,"",100.00,116218019,11.62,1.97,""
"317","3257","虹冠電","2019/12/30","1",740882788,1500000,50.00,80.00,"2019/12/31","2020/02/29","Y","查詢",1294000,"",86.27,73395349,56.72,1.87,"為維護股東權益並兼顧市場機制不影響股價，且因農曆春節假期交易天數短及考量未來員工認股意願，故本次未能執行完畢。"
"318","1587","吉茂","2020/01/05","3",538460367,500000,10.33,22.51,"2020/01/06","2020/03/05","Y","查詢",500000,500000,100.00,7337950,14.68,0.74,""
"319","6442","光聖","2020/01/20","1",1343403000,3000000,27.00,55.00,"2020/01/21","2020/03/20","Y","查詢",3000000,"",100.00,110852705,36.95,4.33,""
"320","3059","華晶科","2020/01/31","1",5605002478,8000000,20.00,28.00,"2020/02/03","2020/04/02","Y","查詢",8000000,"",100.00,145952950,18.24,2.86,""
"321","2206","三陽工業","2020/02/03","3",4843345515,15000000,15.00,31.00,"2020/02/04","2020/04/01","Y","查詢",15000000,"",100.00,301818374,20.12,1.76,""
"322","2601","益航","2020/02/05","1",2471191871,10000000,8.50,9.90,"2020/02/06","2020/04/05","Y","查詢",10000000,"",100.00,94490850,9.45,1.59,""
"323","2911","麗嬰房","2020/02/10","3",774915738,5000000,6.00,11.00,"2020/02/10","2020/04/09","Y","查詢",4264000,"",85.28,27936700,6.55,2.26,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"324","2611","志信","2020/02/12","3",769295453,3000000,4.79,8.22,"2020/02/12","2020/04/11","Y","查詢",3000000,3000000,100.00,19606679,6.54,1.70,""
"325","1598","岱宇","2020/02/21","1",1002912315,3000000,30.00,50.00,"2020/02/24","2020/04/23","Y","查詢",3000000,"",100.00,104927035,34.98,2.61,""
"326","2939","凱羿-KY","2020/02/24","3",921889422,1900000,90.00,140.00,"2020/02/25","2020/04/24","Y","查詢",1474000,1474000,77.58,145264364,98.55,3.12,"因執行買回股份期間，股價已漸趨穩定，基於資金有效運用及股東權益維護之考量，故未全數執行完畢"
"327","2362","藍天","2020/02/27","1",3312915067,10000000,28.00,42.00,"2020/03/02","2020/05/01","Y","查詢",10000000,"",100.00,296649520,29.66,1.49,""
"328","3094","聯傑","2020/02/27","1",236061401,2000000,16.50,25.00,"2020/03/02","2020/05/01","Y","查詢",1400000,"",70.00,22758483,16.26,1.65,"本公司視股價變化採取分批買回策略，為兼顧市場機制及維護全體股東權益，因而未全數買回原定數量。"
"329","3058","立德","2020/03/03","1",603020159,2000000,4.41,10.05,"2020/03/04","2020/04/30","Y","查詢",2000000,"",100.00,10990139,5.50,1.21,""
"330","4306","炎洲","2020/03/10","1",2851653000,10000000,9.00,16.00,"2020/03/11","2020/05/08","Y","查詢",8699000,"",86.99,85553642,9.83,1.53,"為維護股東權益並兼顧市場機制，視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"331","3257","虹冠電","2020/03/11","1",776435962,1500000,45.00,65.00,"2020/03/12","2020/05/11","Y","查詢",946000,946000,63.07,43823375,46.32,1.36,"為維護股東權益並兼顧市場機制不影響股價，故本次未能執行完畢。"
"332","3013","晟銘電","2020/03/12","3",700808551,3500000,9.00,18.00,"2020/03/13","2020/05/11","Y","查詢",3500000,3500000,100.00,38712454,11.06,2.20,""
"333","4137","麗豐-KY","2020/03/12","1",2553476000,1000000,150.00,262.00,"2020/03/13","2020/05/12","Y","查詢",285000,"",28.50,46820885,164.28,0.36,"本公司視股價變化採取分批買回策略，為兼顧市場機制及維護全體股東權益，因而未全數買回原定數量。"
"334","6141","柏承","2020/03/12","3",318371277,2000000,10.90,27.20,"2020/03/13","2020/05/12","Y","查詢",1050000,"",52.50,15891782,15.14,0.81,"考量買回期間股價已趨穩定，故期限雖屆滿但未執行完畢"
"335","1313","聯成","2020/03/13","1",5450732950,10000000,8.30,11.30,"2020/03/16","2020/05/15","Y","查詢",10000000,"",100.00,93355874,9.34,0.75,""
"336","2023","燁輝","2020/03/13","3",7985622345,100000000,8.00,9.50,"2020/03/16","2020/05/15","Y","查詢",22758000,"",22.76,185259045,8.14,1.19,"為兼顧市場機制及維護整體股東權益，考量股價變動已趨穩定及資金之有效運用，故未予以全部執行完畢。"
"337","2353","宏碁","2020/03/13","3",30477974569,230000000,10.05,13.50,"2020/03/13","2020/05/05","Y","查詢",27080000,"",11.77,361943540,13.37,0.88,"市場價格高於庫藏股買回執行價格區間上限，故未全數執行完畢。"
"338","2461","光群雷","2020/03/13","1",1109535009,6000000,9.10,24.31,"2020/03/16","2020/05/15","Y","查詢",6000000,"",100.00,77891133,12.98,3.77,""
"339","2524","京城","2020/03/13","3",9102770000,10000000,20.00,35.00,"2020/03/16","2020/05/15","Y","查詢",10000000,"",100.00,310789663,31.08,2.60,""
"340","6226","光鼎","2020/03/13","1",68477507,4292000,5.00,10.00,"2020/03/13","2020/05/12","Y","查詢",1085000,"",25.28,7920760,7.30,0.94,"基於維護股東權益並兼顧市場機制，公司視股價變化及成交量狀況採取分批買回策略，故未全數執行完畢。"
"341","1609","大亞","2020/03/16","1",1010283159,10000000,5.68,15.55,"2020/03/17","2020/05/15","Y","查詢",5500000,"",55.00,54141308,9.84,0.92,"為考量資金有效運用並維護股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢。"
"342","2030","彰源","2020/03/16","3",1022180615,3000000,9.00,13.00,"2020/03/16","2020/05/15","Y","查詢",3000000,"",100.00,29173412,9.72,1.05,""
"343","2514","龍邦","2020/03/16","3",4666019000,20000000,10.00,16.00,"2020/03/17","2020/05/16","Y","查詢",10000000,"",50.00,129789065,12.98,2.47,"為兼顧市場機制不影響股價，本公司視股價變化及成交量狀況執行分批買回，故未能執行完畢。"
"344","2809","京城銀","2020/03/16","3",23322964726,10000000,28.00,35.00,"2020/03/17","2020/05/15","Y","查詢",10000000,10000000,100.00,276923886,27.69,0.88,""
"345","2474","可成","2020/03/17","3",145536990928,25000000,132.00,354.20,"2020/03/18","2020/05/17","Y","查詢",8773000,"",35.09,1796022500,204.72,1.14,"為維護整體股東權益及兼顧市場機制，視股價變化於價格區間內採分批買回策略，故未執行完畢。"
"346","2504","國產","2020/03/17","3",3927508000,100000000,8.00,13.00,"2020/03/18","2020/04/27","Y","查詢",6191000,"",6.19,61841220,9.99,0.45,"為兼顧市場機制並維護股東權益，本公司視股價變化採分批買回，故本次庫藏股未能執行完畢。"
"347","3296","勝德","2020/03/17","3",499050182,1500000,8.60,21.00,"2020/03/18","2020/05/15","Y","查詢",1500000,"",100.00,19861298,13.24,1.53,""
"348","4763","材料-KY","2020/03/17","1",747269622,1000000,95.00,190.00,"2020/03/18","2020/05/17","Y","查詢",571000,"",57.10,52318960,91.63,1.12,"因執行買回股份期間，股價已漸趨穩定，基於維護股東權益與資金有效運用，故未全數執行完畢"
"349","6655","科定","2020/03/17","1",1611398791,4000000,24.00,57.00,"2020/03/18","2020/05/16","Y","查詢",4000000,"",100.00,165010171,41.25,5.29,""
"350","2365","昆盈","2020/03/18","3",673793367,10000000,5.00,8.00,"2020/03/19","2020/05/17","Y","查詢",5010000,"",50.10,34837401,6.95,2.14,"本次買回股份執行後股價快速反彈，且因4月中旬後大多數時間股價位於買回區間上限$8元以上，無法買回，基於公司財務面及股東權益整體考量未執行完畢。"
"351","2850","新產","2020/03/18","1",2939357502,5000000,22.25,57.10,"2020/03/19","2020/05/18","Y","查詢",50000,"",1.00,1528149,30.56,0.02,"為維護股東權益並兼顧市場機制,視股價變化與市場成交量調整"
"352","2883","開發金","2020/03/18","3",19071801742,150000000,7.60,10.00,"2020/03/19","2020/05/18","Y","查詢",0,"",0.00,0,0.00,0.00,"考量執行期間本公司股價逐漸回穩，基於維護股東權益及資金效益，故本次買回庫藏股未予執行。"
"353","3032","偉訓","2020/03/18","1",1123063278,4000000,21.50,30.00,"2020/03/19","2020/05/18","Y","查詢",2000000,"",50.00,51701070,25.85,1.77,"因執行買回股份期間，股價已漸趨穩定，基於維護股東權益與資金有效運用，故未全數執行完畢。"
"354","3041","揚智","2020/03/18","1",1490225225,3850000,10.50,18.00,"2020/03/19","2020/05/18","Y","查詢",2000000,"",51.95,30077609,15.04,1.04,"本公司考慮受疫情影響使整體經濟情況尚不明朗，為兼顧市場機制及維護整體股東權益，故未能全部執行完畢。"
"355","4739","康普","2020/03/18","1",2258976496,4000000,25.41,91.73,"2020/03/19","2020/05/18","Y","查詢",2025000,"",50.63,115747975,57.16,2.18,"為維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況採取分批買回策略，故未全數執行完畢。"
"356","4976","佳凌","2020/03/18","1",493676000,2000000,10.00,33.00,"2020/03/19","2020/05/18","Y","查詢",836000,"",41.80,14882310,17.80,0.70,"為維護股東權益並兼顧市場機制，視股價變化及成交量狀況，採行分批買回策略，故未執行完畢。"
"357","5388","中磊","2020/03/18","1",4519814321,5000000,42.91,80.00,"2020/03/19","2020/05/17","Y","查詢",1998000,"",39.96,130468015,65.30,0.80,"1.採限時、限量、限價低接為原則,致部份買單未成交 2.疫情未見緩和,保留部份額度備用"
"358","5531","鄉林","2020/03/18","3",933171801,12500000,8.00,12.00,"2020/03/19","2020/05/18","Y","查詢",4885000,"",39.08,40457789,8.28,0.50,"本公司基於維護股東權益與兼顧市場機制，並保留後續資金運用，故未予以執行完畢。"
"359","1733","五鼎","2020/03/19","1",549841249,1000000,21.00,32.00,"2020/03/20","2020/05/18","Y","查詢",573000,"",57.30,12245800,21.37,0.57,"為考量資金有效運用及兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故本次庫藏股未能執行完畢。"
"360","2031","新光鋼","2020/03/19","3",2851769493,7000000,12.01,41.76,"2020/03/20","2020/05/18","Y","查詢",3500000,"",50.00,81767841,23.36,1.13,"為維護股東權益並兼顧市場機制，故未執行完畢。"
"361","2455","全新","2020/03/19","1",519555653,5000000,58.00,103.00,"2020/03/20","2020/05/19","Y","查詢",2000,"",0.04,126488,63.24,0.00,"執行期間受惠於國安基金進場護盤帶領下，市場氛圍已明顯改善，本公司考量後續資金運用，故未予以執行完畢。"
"362","2636","台驊投控","2020/03/19","1",1135885763,10000000,12.32,25.00,"2020/03/19","2020/05/18","Y","查詢",1556000,"",15.56,32762643,21.06,1.33,"為顧及股東權益及兼顧員工意願"
"363","2897","王道銀行","2020/03/19","1",4781949079,35000000,5.00,7.00,"2020/03/20","2020/05/19","Y","查詢",5737000,"",16.39,38304469,6.68,0.24,"為維護股東權益與兼顧市場機制，視股價及成交量採分批買回，惟因期間市場交易量低於預期，且自4/29起，收盤股價已逾預定買回價格之上限，故本次買回未能執行完畢"
"364","3015","全漢","2020/03/19","3",3340905373,5000000,15.00,25.00,"2020/03/20","2020/05/19","Y","查詢",5000000,"",100.00,101002529,20.20,2.60,""
"365","3021","鴻名","2020/03/19","3",262344171,3000000,7.42,21.80,"2020/03/20","2020/05/19","Y","查詢",1813467,"",60.45,21427637,11.82,1.89,"為兼顧市場機制及維護全體股東權益，故本次未能執行完畢。"
"366","8011","台通","2020/03/19","3",1409479101,2500000,9.00,13.00,"2020/03/20","2020/05/19","Y","查詢",1040000,"",41.60,12557850,12.07,0.88,"股價已超過本公司可執行買回之區間價格，故未能全數執行完畢。"
"367","1101","台泥","2020/03/20","1",82253560000,8000000,25.90,61.95,"2020/03/23","2020/05/22","Y","查詢",4000000,"",50.00,171600146,42.90,0.07,"原預定買回期間本公司股價與大盤相較無超跌情形，為維護股東權益及考量員工認股意願，故未執行完畢。"
