"序號","公司代號","公司名稱","董事會決議日期","買回目的","買回股份總金額上限(依最新財報計算之法定上限)","預定買回股數","買回價格區間-最低","買回價格區間-最高","預定買回期間-起","預定買回期間-迄","是否執行完畢","買回達一定標準資料","本次已買回股數(空白為尚在執行中)","本次執行完畢已註銷或轉讓股數","本次已買回股數佔預定買回股數比例(%)(空白為尚<br>在執行中)","本次已買回總金額(空白為尚在執行中)","本次平均每股買回價格(空白為尚在執行中)","本次買回股數佔公司已發行股份總數比例(%)(空白為尚在執行中)","本次未執行完畢之原因"
"40","9934","成霖","2016/11/04","3",3157217378,6000000,10.55,23.75,"2016/11/05","2017/01/04","Y","查詢",3535000,3535000,58.92,55193795,15.61,0.99,"考量買回期間股價漸趨穩定，故本次庫藏股未全數執行。"
"41","2385","群光","2016/11/07","1",13713741410,10000000,70.00,80.00,"2016/11/08","2017/01/07","Y","查詢",2786000,2786000,27.86,205887312,73.90,0.39,"因兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故未能執行完畢。"
"42","6412","群電","2016/11/07","1",2960148222,10000000,42.00,52.00,"2016/11/08","2017/01/07","Y","查詢",2515000,2515000,25.15,124125568,49.35,0.67,"因兼顧市場機制不影響股價，本公司視股價變化及成交量狀況採分批買回，故未能執行完畢"
"43","2030","彰源","2016/11/08","1",372900347,3000000,9.00,13.00,"2016/11/08","2017/01/06","Y","查詢",1227000,1227000,40.90,12924624,10.53,0.43,"為顧及股東權益及未來員工認股意願，買回股份期間股價呈穩定趨勢，採取低接不追高原則，因而未依原預定數量完全執行完畢。"
"44","2365","昆盈","2016/11/08","3",1251378384,5000000,8.00,13.50,"2016/11/09","2017/01/07","Y","查詢",5000000,5000000,100.00,44682889,8.94,1.77,""
"45","8163","達方","2016/11/08","3",5512737397,17902000,15.00,27.80,"2016/11/08","2017/01/07","Y","查詢",17902000,17902000,100.00,365617867,20.42,6.01,""
"46","2020","美亞","2016/11/09","3",500196059,3000000,8.96,19.53,"2016/11/10","2017/01/09","Y","查詢",600000,600000,20.00,8214482,13.69,0.25,"因買回股份執行期間，股價已漸趨穩定，為尊重並回歸市場機制，故未全數執行完畢。"
"47","2101","南港","2016/11/09","3",948653000,8000000,27.00,32.00,"2016/11/10","2017/01/09","Y","查詢",3986000,"",49.83,118076770,29.62,0.48,"本公司視股價變化採分批買回策略,執行率49.83%."
"48","3038","全台","2016/11/09","3",223219742,3500000,7.00,13.00,"2016/11/09","2017/01/06","Y","查詢",3500000,3500000,100.00,34947677,9.99,1.74,""
"49","3054","立萬利","2016/11/09","1",72917470,1000000,14.67,31.86,"2016/11/10","2017/01/09","Y","查詢",895000,895000,89.50,19289021,21.55,0.83,"為維護股東權益並兼顧市場機制，視股價變化及成交量狀況，故未執行完畢。"
"50","2608","嘉里大榮","2016/11/10","3",2953551011,16925000,38.00,52.00,"2016/11/11","2017/01/10","Y","查詢",16582000,16582000,97.97,737410710,44.47,3.43,"考量庫藏股買回期間股價變化及實際成交量，本公司需顧及市場機制及維護股東權益，故未執行完畢。"
"51","2611","志信","2016/11/10","3",687566424,2000000,4.73,8.21,"2016/11/10","2017/01/09","Y","查詢",260000,260000,13.00,1772614,6.82,0.15,"考量買回期間股價已趨穩定，為兼顧市場機制及有效運用資金，故期間屆滿未執行完畢。"
"52","3031","佰鴻","2016/11/10","1",775443556,10000000,9.00,15.00,"2016/11/11","2017/01/10","Y","查詢",10000000,10000000,100.00,117437515,11.74,5.08,""
